Date,Open,High,Low,Close,Adj Close,Volume
11/18/19,70.584,70.629997,69.220001,69.998001,69.998001,22002000
11/19/19,70.349998,71.998001,69.559998,71.903999,71.903999,38624000
11/20/19,72,72.239998,69.914001,70.444,70.444,33625500
11/21/19,70.902,72.167999,70.800003,70.966003,70.966003,30550000
11/22/19,68.031998,68.199997,66,66.608002,66.608002,84353000
11/25/19,68.863998,68.914001,66.891998,67.267998,67.267998,61697500
11/26/19,67.054001,67.099998,65.419998,65.783997,65.783997,39737000
11/27/19,66.223999,66.786003,65.713997,66.258003,66.258003,27778000
11/29/19,66.222,66.251999,65.5,65.987999,65.987999,12328000
12/2/19,65.879997,67.276001,65.737999,66.973999,66.973999,30372500
12/3/19,66.524002,67.582001,66.438004,67.239998,67.239998,32868500
12/4/19,67.550003,67.571999,66.57,66.606003,66.606003,27665000
12/5/19,66.566002,66.884003,65.449997,66.073997,66.073997,18623000
12/6/19,67,67.772003,66.954002,67.178001,67.178001,38062000
12/9/19,67.318001,68.889999,67.015999,67.905998,67.905998,45115500
12/10/19,67.991997,70.146004,67.862,69.767998,69.767998,44141500
12/11/19,70.375999,71.438004,70.218002,70.540001,70.540001,34489000
12/12/19,70.984001,72.547997,70.646004,71.935997,71.935997,38819500
12/13/19,72.209999,73.042,70.928001,71.678001,71.678001,32854500
12/16/19,72.510002,76.722,72.5,76.300003,76.300003,90871000
12/17/19,75.797997,77.099998,75.18,75.797997,75.797997,42484000
12/18/19,76.125999,79.043999,76.115997,78.629997,78.629997,70605000
12/19/19,79.463997,81.370003,79.300003,80.807999,80.807999,90535500
12/20/19,82.057999,82.599998,80.038002,81.117996,81.117996,73763500
12/23/19,82.356003,84.402,82,83.844002,83.844002,66598000
12/24/19,83.671997,85.094002,82.538002,85.050003,85.050003,40273500
12/26/19,85.582001,86.695999,85.269997,86.188004,86.188004,53169500
12/27/19,87,87.061996,85.222,86.075996,86.075996,49728500
12/30/19,85.758003,85.800003,81.851997,82.940002,82.940002,62932000
12/31/19,81,84.258003,80.416,83.666,83.666,51428500
1/2/20,84.900002,86.139999,84.342003,86.052002,86.052002,47660500
1/3/20,88.099998,90.800003,87.384003,88.601997,88.601997,88892500
1/6/20,88.094002,90.311996,88,90.307999,90.307999,50665000
1/7/20,92.279999,94.325996,90.671997,93.811996,93.811996,89410500
1/8/20,94.739998,99.697998,93.646004,98.428001,98.428001,155721500
1/9/20,99.419998,99.760002,94.573997,96.267998,96.267998,142202000
1/10/20,96.358002,96.987999,94.739998,95.629997,95.629997,64797500
1/13/20,98.699997,105.125999,98.400002,104.972,104.972,132588000
1/14/20,108.851997,109.482002,104.980003,107.584,107.584,144981000
1/15/20,105.952003,107.568001,103.358002,103.699997,103.699997,86844000
1/16/20,98.75,102.891998,98.433998,102.697998,102.697998,108683500
1/17/20,101.522003,103.134003,100.632004,102.099998,102.099998,68145500
1/21/20,106.050003,109.716003,105.681999,109.440002,109.440002,89017500
1/22/20,114.377998,118.900002,111.82,113.912003,113.912003,156845000
1/23/20,112.849998,116.400002,111.120003,114.440002,114.440002,98255000
1/24/20,114.125999,114.772003,110.851997,112.963997,112.963997,71768000
1/27/20,108.398003,112.888,107.856003,111.603996,111.603996,68040500
1/28/20,113.697998,115.362,111.615997,113.379997,113.379997,58942500
1/29/20,115.138,117.959999,113.486,116.197998,116.197998,89007500
1/30/20,126.484001,130.175995,123.599998,128.162003,128.162003,145028500
1/31/20,128,130.600006,126.503998,130.113998,130.113998,78596500
2/3/20,134.738007,157.227997,134.703995,156,156,236167500
2/4/20,176.591995,193.798004,166.776001,177.412003,177.412003,304694000
2/5/20,164.651993,169.195999,140.822006,146.940002,146.940002,242119000
2/6/20,139.983994,159.166,137.399994,149.792007,149.792007,199404000
2/7/20,146.110001,153.949997,146,149.613998,149.613998,85317500
2/10/20,160,163.998001,150.479996,154.255997,154.255997,123446000
2/11/20,153.757996,156.701996,151.600006,154.876007,154.876007,58487500
2/12/20,155.574005,157.949997,152.673996,153.457993,153.457993,60112500
2/13/20,148.367996,163.600006,147,160.800003,160.800003,131446500
2/14/20,157.444,162.593994,157.100006,160.005997,160.005997,78468500
2/18/20,168.320007,172,166.472,171.679993,171.679993,81908500
